Source,Question,Category,Answer from Source 1 (chatgpt3),Evaluate Source 1,Evaluate Souce 1 Category,Answer from Source (planned parenthood Roo),Evaluate Source 2,Evaluate Source 2 Category,New question Prompt,New answer,Prompt Pattern,Details,Evaluate Source 2,Evaluate Source 2 New Category
Bedsider,Can I get pregnant from anal sex?,Pregnancy,"No, pregnancy cannot occur from anal sex. Pregnancy can only occur if semen (which contains sperm) comes in contact with the vagina and fertilizes an egg. During anal sex, the penis enters the anus and rectum, which are not connected to the reproductive system. However, it's important to note that anal sex can still transmit sexually transmitted infections (STIs) such as HIV, gonorrhea, chlamydia, and herpes. Therefore, it's recommended to use condoms or other forms of protection during anal sex to reduce the risk of STIs.",Correct,Correct,"Hmm, I'm not quite sure I understand what you're asking. Try asking in a different way! What is anal sex? If I have anal sex will I get pregnant?",Refuses to Answer,Refuses to answer/ Makes correct suggestion,,,,,Refuses to Answer,Refuses to Answer
Bedsider,How soon can I get pregnant after my implant is taken out?,Birth Control,"After the removal of an implant (a form of hormonal birth control), a woman can get pregnant as early as the first ovulation cycle after removal. This can happen within a few days to a few weeks after the removal of the implant, although it may take longer for some women.

It's important to keep in mind that the timing of ovulation and conception can vary from woman to woman and may depend on factors such as age, overall health, and individual fertility. Some women may experience irregular periods or delays in ovulation for a few months after removing the implant.

To increase the chances of conceiving after removing the implant, it's recommended to have regular sexual intercourse, ideally timed around ovulation. Women who are concerned about their fertility or have trouble conceiving after the removal of the implant should consult with a healthcare provider for further evaluation and advice.",Correct,Correct,Sometimes we bots have a hard time understanding humans. Could you ask me in a different way? You can also visit our Ask the Experts blog to read answers to common questions.,Refuses to Answer,Refuses to Answer,How soon after removing an IUD can I get pregnant?,"You can get your IUD taken out whenever you want. If your IUD is going to expire but you still don’t want to get pregnant, you’ll have to replace it. Each brand of IUD has a different expiration date, but you should be able to get it replaced right away after getting it removed.",Changing implant to IUD,Replace keyword,Incorrect,Missing Information
Bedsider,How effective is withdrawal at preventing pregnancy?,Birth Control,"Withdrawal, also known as the ""pull-out"" method, is a method of birth control where the man withdraws his penis from the vagina before ejaculation, with the goal of preventing semen from entering the vagina and fertilizing an egg.

While withdrawal can be an effective method of birth control when done correctly, it is not as reliable as other forms of birth control. The effectiveness of withdrawal depends on various factors, including the consistency and accuracy of use, and whether other forms of contraception are used in combination.

According to Planned Parenthood, when used correctly and consistently, withdrawal is about 96% effective at preventing pregnancy. However, in typical use (when people do not use it perfectly every time), withdrawal is about 78% effective at preventing pregnancy.

It's important to note that withdrawal does not protect against sexually transmitted infections (STIs), so it's recommended to use condoms or other forms of protection in addition to withdrawal to reduce the risk of STIs.",Correct,Correct,"Hmm, I'm not quite sure I understand what you're asking. Try asking in a different way! What are lorals? How effective is the implant?",Refuses to Answer,Refuses to Answer,Can you get pregnant if your partner pulls out?,"It’s rare, but it can happen. Sperm mostly lives in semen (what comes out of the penis during ejaculation), but a little sperm can come out in pre-cum (the clear fluid that comes out of the penis when it’s hard). If pre-cum gets in the vagina, pregnancy is unlikely but possible.",Replace How with Can,Interrogative/ Conditional Words,Correct,Correct
Bedsider,I'm traveling to a different time zone. How can I figure out when to take my pill?,Birth Control,"If you are traveling to a different time zone and take birth control pills, it's important to adjust your pill-taking schedule accordingly to ensure that you continue to take your pills at the same time each day. Here are some tips on how to do this:

Check the time difference between your current time zone and the destination time zone. Determine how many hours ahead or behind you will be.

Take note of the time you usually take your birth control pill in your current time zone.

Calculate the time in your destination time zone when you should take your pill based on your usual pill-taking time in your current time zone. For example, if you usually take your pill at 8 pm in your current time zone and you are traveling to a time zone that is three hours ahead, you should take your pill at 11 pm (local time) in the destination time zone.

Set an alarm or reminder on your phone to help you remember when to take your pill.

If you are unsure about the timing or have any concerns, it's recommended to consult with a healthcare provider or pharmacist for personalized advice.

Remember, it's important to take your birth control pills at the same time every day to maintain their effectiveness in preventing pregnancy.",Correct,Correct,Sometimes we bots have a hard time understanding humans. Could you ask me in a different way? You can also visit our Ask the Experts blog to read answers to common questions.,Refuses to Answer,Refuses to Answer,What time should I take my birth control if I'm traveling?,"Hmm, I'm not quite sure I understand what you're asking. Try asking in a different way!",,,Refuses to Answer,Refuses to Answer
Bedsider,I'm spotting from the implant. What can I do to stop it?,Birth Control,"Spotting or irregular bleeding is a common side effect of the implant, and it can be frustrating to deal with. Here are some things you can do to help stop spotting from the implant:

Give it time: In many cases, spotting from the implant will go away on its own after a few weeks or months. This is because the hormones in the implant can take time to adjust to your body.

Take ibuprofen: Taking over-the-counter ibuprofen can help reduce menstrual cramps and lighten bleeding, which may help alleviate spotting from the implant.

Consider changing your diet: Eating foods high in iron, such as leafy greens and red meat, can help reduce bleeding and improve iron levels in the body, which may help with spotting.

Talk to your healthcare provider: If the spotting from the implant persists or becomes bothersome, it's important to talk to your healthcare provider. They may be able to recommend a different type of birth control or offer other treatment options to help reduce the spotting.

Remember, spotting from the implant is a common side effect, and it's usually nothing to worry about. However, if you have any concerns or unusual symptoms, it's always best to talk to your healthcare provider.






",Correct,Correct,"Well this is awkward, but I can't understand your question. You can try picking from popular questions and topics or visit our Ask the Experts blog to read answers to common questions.",Refuses to Answer,Refuses to Answer,What can I do to prevent spotting from the IUD?,"Spotting is lighter vaginal bleeding that is *not* your period. It’s pretty common, especially if you're using hormonal birth control, and generally isn't anything to worry about. If it bothers you or you're also having other symptoms, you should talk to a nurse or doctor.",,,Refuses to Answer,Refuses to Answer
Bedsider,Can I get pregnant even if my guy has ejaculated multiple times already?,Pregnancy,"Yes, it is possible to get pregnant even if your partner has ejaculated multiple times. Each time a man ejaculates, he releases semen, which contains sperm that can potentially fertilize an egg. It only takes one sperm to fertilize an egg and lead to pregnancy.

Additionally, even if a man has ejaculated earlier, pre-ejaculate (also known as pre-cum) can also contain sperm and lead to pregnancy if it comes into contact with the vagina.

It's important to note that there are other factors that can affect fertility and the chances of getting pregnant, such as timing of ovulation, overall health, and use of contraception. If you are sexually active and do not wish to become pregnant, it's recommended to use a reliable form of birth control consistently and correctly.",Correct,Correct,"Sorry, I can't understand what you're asking. (Even bots get confused sometimes.) Would you rather talk to a real person?",Refuses to Answer,Refuses to Answer,Can you get pregnant if partner has ejaculated multiple times already?,Sometimes we bots have a hard time understanding humans. Could you ask me in a different way? You can also visit our Ask the Experts blog to read answers to common questions.,,,Refuses to Answer,Refuses to Answer
Bedsider,My IUD was expelled. Should I try again?,Birth Control,"If your intrauterine device (IUD) was expelled, it's important to talk to your healthcare provider about your options. Depending on the reason for the expulsion and your personal medical history, your healthcare provider may recommend trying again with another IUD or exploring other birth control options.

Some possible reasons for an IUD expulsion include:

The IUD was not properly placed during insertion.
The IUD was dislodged or shifted out of place due to physical activity or trauma.
The uterus may have expelled the IUD due to contractions or other factors.
If you do choose to try an IUD again, your healthcare provider may recommend waiting until after your next menstrual period to have a new IUD inserted, as the cervix is more open during this time and the chances of successful insertion are higher. Your healthcare provider may also recommend a different type of IUD or a different form of birth control altogether based on your individual needs and medical history.

It's important to talk to your healthcare provider about your options and any concerns you may have.




",Correct,Correct,Looks like my bot brain can't process this. Can you try asking it in another way? You can also visit our Ask the Experts blog to read answers to common questions.,Refuses to Answer,Refuses to Answer,What do I do if my IUD fell out?,"If abortion pills fall out of your vagina before 30 minutes passes, contact the provider that gave you the pills as soon as possible. You may need to take more pills to make sure the abortion is complete. You can also contact the M+A hotline for support. They aren’t affiliated with Planned Parenthood, and don't provide medical care, but may be able to help.",Replace Should with What,Interrogative/ Conditional Words,Incorrect,Missing Information
Bedsider,How painful is abortion?,Abortion,"The pain associated with an abortion can vary depending on several factors, such as the type of abortion procedure, the individual's pain tolerance, and any pre-existing medical conditions. It's important to note that the vast majority of individuals who undergo abortion report only mild to moderate pain.

Medical abortion, which involves taking medication to end a pregnancy, can cause cramping and bleeding similar to a heavy period. This can be managed with over-the-counter pain relief medications and typically resolves within a few days. Surgical abortion, which involves a procedure to remove the contents of the uterus, can cause mild to moderate cramping and discomfort during and immediately following the procedure. Pain relief medications may be used during the procedure to help manage discomfort.

It's important to discuss any concerns you may have about pain with your healthcare provider, who can provide you with personalized information and support. In addition, they can work with you to develop a plan for pain management during and after the procedure to help ensure your comfort and well-being.",Incorrect,Missing information,"Hmm, I'm not quite sure I understand what you're asking. Try asking in a different way! What is an abortion? How much does an abortion cost?",Refuses to Answer,Refuses to answer,Does abortion hurt?,"I'd love to help you, but I think a real person can give you better advice in this situation. You can actually chat with one of our health educators. It's free and private.",,,Refuses to Answer,Refuses to Answer
Bedsider,How do I check a condom wrapper for damage?,Birth Control,"Before using a condom, it's important to check the wrapper for any signs of damage or defects that could compromise the effectiveness of the condom. Here are some steps to check a condom wrapper for damage:

Check the expiration date: Make sure the condom is not expired. Using an expired condom can increase the risk of breakage or failure.

Look for visible damage: Check the wrapper for any tears, holes, or other visible damage. If the wrapper is damaged, do not use the condom.

Check the seal: Look for the seal at the edge of the wrapper. If the seal is broken or missing, the condom may be damaged and should not be used.

Check the texture: Run your fingers over the wrapper to check for any unusual texture or bumps, which may indicate damage.

Check the color: Condom wrappers should have a consistent color throughout. If you notice any discoloration or spots on the wrapper, do not use the condom.

If you notice any signs of damage or defects, do not use the condom. Use a new condom from a different package. It's important to always use a new condom for each act of sexual intercourse to reduce the risk of sexually transmitted infections (STIs) and unintended pregnancy.",Incorrect,Missing information,"Hmm, I'm not quite sure I understand what you're asking. Try asking in a different way!",Refuses to Answer,Refuses to Answer,How do I check the quality of a condom?,"No method is 100% except for abstinence. Humans can make mistakes and that makes things like condoms work less well. That’s why it’s important to use them correctly, the whole time you have sex. The better you are at using them, the better they work.",Changing damage to quality,Replace keyword,Incorrect,Missing information
Bedsider,"Is it okay to drink, use cannabis, or use other drugs before an abortion?",Abortion,"No, it is not recommended to drink alcohol, use cannabis, or use other drugs before an abortion. These substances can affect your judgment, coordination, and ability to make informed decisions about your healthcare.

In addition, using these substances can affect the effectiveness of anesthesia and pain relief medications used during the procedure, and may increase your risk of complications.

It's important to follow your healthcare provider's instructions regarding medications and substances before your abortion procedure. They will likely advise you to avoid alcohol, drugs, and certain medications before the procedure to ensure your safety and the best possible outcome.

If you have any questions or concerns about using substances before your abortion, it's important to discuss them with your healthcare provider. They can provide you with personalized guidance and support to help you make informed decisions about your health.",Correct,Correct,Sometimes we bots have a hard time understanding humans. Could you ask me in a different way? You can also visit our Ask the Experts blog to read answers to common questions.,Refuses to Answer,Refuses to Answer,Can I use substances before an abortion?,"You can eat before and after taking the abortion pill. Do not eat while misoprostol is dissolving under your tongue or in your cheek. If you’re dissolving the misoprostol in your vagina then it’s OK to eat.
","Changed alcohol, drugs to substances",Replace keyword,Incorrect,Factuality
Bedsider,How can birth control help an ovarian cyst?,Period,"Birth control pills can be used to help manage ovarian cysts. Ovarian cysts are fluid-filled sacs that form on the ovaries, and they are a common condition that can cause symptoms such as pelvic pain, bloating, and irregular menstrual cycles.

Birth control pills contain synthetic hormones that prevent ovulation, which can help reduce the risk of developing new cysts and prevent existing cysts from growing larger. By regulating the menstrual cycle, birth control pills can also help reduce symptoms associated with ovarian cysts, such as irregular bleeding or pelvic pain.

In some cases, other types of hormonal birth control, such as the hormonal IUD or the birth control shot, may be recommended to manage ovarian cysts. However, it's important to discuss your options with your healthcare provider to determine the best course of treatment based on your individual needs and medical history.

It's important to note that birth control is not a treatment for ovarian cysts, but it can be a helpful tool in managing symptoms and preventing complications. If you have concerns about ovarian cysts or other reproductive health issues, talk to your healthcare provider for personalized guidance and support.",Correct,Correct,"Hmm, I'm not quite sure I understand what you're asking. Try asking in a different way! What is birth control? How do I get birth control?",Refuses to Answer,Refuses to Answer,Will birth control help ovarian cyst?,"Some hormonal birth control options (like the pill, patch, and ring) can help with acne; lots of people use it for this reason. Hormonal birth control can also help with PMS and period symptoms!",Changing How to Will,Interrogative/ Conditional Words,Incorrect,Factuality
Bedsider,How soon can I get pregnant after going off the shot?,Birth Control,"The length of time it takes to get pregnant after going off the birth control shot, also known as Depo-Provera, can vary from person to person.

Depo-Provera is a long-acting hormonal birth control method that is given as an injection every 12 weeks. It works by preventing ovulation and thickening the cervical mucus, which makes it more difficult for sperm to reach and fertilize an egg.

After stopping the birth control shot, it may take several months or more for ovulation to resume and for fertility to return to normal. In some cases, it may take up to a year or longer for menstrual cycles to become regular and for fertility to fully return. However, many women are able to become pregnant within 6 to 12 months of stopping the shot.

",Incorrect,Factually Wrong,"Hmm, I'm not quite sure I understand what you're asking. Try asking in a different way! What are the effects of stopping shot? How soon after the abortion pill can I get pregnant again?",Refuses to Answer,Refuses to Answer,Does stopping the shot affect your period?,"The shot can delay your period and ability to get pregnant up to 10 months after your last shot wears off. But your ability to get pregnant can return 15 weeks after your last shot. If you’re worried about the side effects of going off the shot, talk with your nurse or doctor.

Want more info?
",Changing How to Does,Interrogative/ Conditional Words,Correct,Correct
Bedsider,"My patch leaves a square of dark sticky stuff around it. What is it, and how do I get it off?",Birth Control,"The square of dark sticky stuff you are referring to is likely adhesive residue from the birth control patch. This is a common issue that can occur when using the patch.

To remove the adhesive residue, you can try using a small amount of rubbing alcohol or an adhesive remover specifically designed for use on skin. Apply a small amount of the solution to a cotton ball or soft cloth and gently rub the area in a circular motion until the residue is removed.

It's important to avoid using harsh chemicals or scrubbing too hard, as this can irritate the skin or cause damage. You can also try using warm water and soap to gently clean the area, but be sure to avoid using oils or lotions that may interfere with the patch's ability to stick.",Incorrect,Factually Wrong,Sometimes we bots have a hard time understanding humans. Could you ask me in a different way? You can also visit our Ask the Experts blog to read answers to common questions.,Refuses to Answer,Refuses to Answer,What is the sticky stuff from my patch?,Sometimes we bots have a hard time understanding humans. Could you ask me in a different way? You can also visit our Ask the Experts blog to read answers to common questions.,,,Refuses to Answer,Refuses to Answer
Bedsider,Is it okay for me to take my own IUD out?,Birth Control,"No, it is not recommended to remove an IUD by yourself. The removal process requires a healthcare provider to use special tools to carefully and safely remove the IUD from your uterus.

Attempting to remove the IUD yourself can be dangerous and can result in injury, infection, or other complications. In some cases, the IUD may become dislodged or may be difficult to remove, and attempting to remove it yourself can cause further complications.

If you need to have your IUD removed, it's important to schedule an appointment with your healthcare provider. They can evaluate your health history, perform an exam, and remove the IUD safely and effectively. If you are experiencing any issues with your IUD or have concerns about its removal, be sure to discuss these with your healthcare provider.",Correct,Correct,"Well this is awkward, but I can't understand your question. You can try picking from popular questions and topics or visit our Ask the Experts blog to read answers to common questions.",Refuses to Answer,Refuses to Answer,Can I take my IUD out?,Sometimes we bots have a hard time understanding humans. Could you ask me in a different way? You can also visit our Ask the Experts blog to read answers to common questions.,,,Refuses to Answer,Refuses to Answer
Bedsider,Is it safe to use flavored condoms for vaginal or anal sex?,Sex Education,"Flavored condoms are safe to use for vaginal or anal sex as long as they are used properly and according to the manufacturer's instructions.

However, it's important to note that flavored condoms may contain added sugars or flavorings, which can increase the risk of yeast or bacterial infections. This is because the sugar can feed bacteria or yeast, leading to overgrowth and infection.

If you choose to use flavored condoms, it's important to follow safe sex practices to reduce the risk of infection. This includes using a new condom for each sexual act, properly storing and using the condom according to the manufacturer's instructions, and avoiding contact with the flavored area of the condom during sex. It's also a good idea to talk to your healthcare provider about any concerns or questions you have about using flavored condoms.",Correct,Correct,"Sorry, I can't understand what you're asking. (Even bots get confused sometimes.) Would you rather talk to a real person?",Refuses to Answer,Refuses to Answer,Can I use flavored condoms,Sometimes we bots have a hard time understanding humans. Could you ask me in a different way? You can also visit our Ask the Experts blog to read answers to common questions.,,,Refuses to Answer,Refuses to Answer
